Instrument Type,Date,Traded Contract(Lots),Quantity (000's),Total Value (Lacs)
FUTCOM,15 Nov 2006,38344,38344,350050.95
FUTCOM,16 Nov 2006,32476,32476,297182.68
FUTCOM,17 Nov 2006,35617,35617,322926
FUTCOM,18 Nov 2006,989,989,8999.59
FUTCOM,20 Nov 2006,23389,23389,213315.02
FUTCOM,21 Nov 2006,22406,22406,204739.16
FUTCOM,22 Nov 2006,30456,30456,279046.72
FUTCOM,23 Nov 2006,3099,3099,28404.02
FUTCOM,24 Nov 2006,24200,24200,223143.4
FUTCOM,25 Nov 2006,3418,3418,31697.85
FUTCOM,27 Nov 2006,26790,26790,248763.2
FUTCOM,28 Nov 2006,33275,33275,308208.65
FUTCOM,29 Nov 2006,29728,29728,275871.1
FUTCOM,30 Nov 2006,39240,39240,367713.26
FUTCOM,01 Dec 2006,27625,27625,261600.2
FUTCOM,02 Dec 2006,1391,1391,13162.14
FUTCOM,04 Dec 2006,20882,20882,197567.22
FUTCOM,05 Dec 2006,37447,37447,353782.73
FUTCOM,06 Dec 2006,33192,33192,310783.51
FUTCOM,07 Dec 2006,34978,34978,324268.56
FUTCOM,08 Dec 2006,42866,42866,398975.67
FUTCOM,09 Dec 2006,1884,1884,17399.8
FUTCOM,11 Dec 2006,25620,25620,236944.06
FUTCOM,12 Dec 2006,18334,18334,169913.44
FUTCOM,13 Dec 2006,25599,25599,236658.69
FUTCOM,14 Dec 2006,17016,17016,157280.8
FUTCOM,15 Dec 2006,42267,42267,388794.14
FUTCOM,16 Dec 2006,2675,2675,24288
FUTCOM,18 Dec 2006,27338,27338,247967.95
FUTCOM,19 Dec 2006,26146,26146,238001.53
FUTCOM,20 Dec 2006,20472,20472,187215.04
FUTCOM,21 Dec 2006,20005,20005,182238.32
FUTCOM,22 Dec 2006,13050,13050,118584.02
FUTCOM,23 Dec 2006,992,992,9057.97
FUTCOM,26 Dec 2006,14476,14476,132678.46
FUTCOM,27 Dec 2006,14138,14138,129575.68
FUTCOM,28 Dec 2006,21578,21578,198846.43
FUTCOM,29 Dec 2006,13627,13627,126103.02
FUTCOM,30 Dec 2006,2032,2032,18864.46
FUTCOM,01 Jan 2007,719,719,6669.13
FUTCOM,02 Jan 2007,9917,9917,92050.88
